Step,with residual,wo residual
776,-0.980341077,-0.924741626
777,-0.980471134,-0.925116479
779,-0.981005669,-0.924507201
780,-0.982104957,-0.92393434
782,-0.982281446,-0.922910035
783,-0.980537057,-0.923215151
785,-0.981389582,-0.922896504
787,-0.981766224,-0.923355818
788,-0.980823994,-0.922327757
789,-0.980973005,-0.924121082
790,-0.981121421,-0.921405613
792,-0.978300452,-0.921686888
794,-0.981234193,-0.924453497
796,-0.980643868,-0.923820138
799,-0.980986834,-0.92593205
800,-0.981599629,-0.924661696
801,-0.981094122,-0.924918711
805,-0.980998397,-0.92420435
806,-0.979695201,-0.926174104
807,-0.978893876,-0.925467968
808,-0.979218245,-0.924595594
811,-0.979810357,-0.924486518
812,-0.980615199,-0.925899148
813,-0.981362402,-0.924888134
814,-0.979142308,-0.927815497
817,-0.978773236,-0.925990641
819,-0.981801391,-0.925193787
822,-0.980437994,-0.923966408
824,-0.981197238,-0.928308964
827,-0.981377661,-0.923559308
829,-0.978860617,-0.925816298
830,-0.98004061,-0.923993468
833,-0.980480015,-0.924455166
834,-0.979487538,-0.929063201
837,-0.979755282,-0.924558997
838,-0.981083512,-0.926226854
839,-0.980849743,-0.928621471
840,-0.979622364,-0.925682366
841,-0.981411457,-0.927135348
843,-0.980337977,-0.926224828
844,-0.980574787,-0.925454259
845,-0.979824424,-0.925752044
846,-0.980810285,-0.924751103
848,-0.981084943,-0.926141262
849,-0.981300354,-0.92409122
851,-0.980656266,-0.924961925
852,-0.980842352,-0.926480889
853,-0.979775071,-0.931724489
856,-0.978669763,-0.926460981
858,-0.979370952,-0.924925685
859,-0.980787039,-0.925537527
861,-0.98045516,-0.927954376
862,-0.981617212,-0.92812562
863,-0.979487479,-0.925181031
869,-0.981368184,-0.924028397
870,-0.982236981,-0.927351296
871,-0.981127083,-0.929619074
873,-0.982643664,-0.92781204
875,-0.981362283,-0.928754091
876,-0.980671346,-0.927952945
878,-0.981637239,-0.928192258
879,-0.981053591,-0.926616549
881,-0.979706287,-0.928502917
884,-0.982057691,-0.92615521
885,-0.981361985,-0.928376317
886,-0.978447437,-0.928230643
889,-0.981165051,-0.926868916
891,-0.980492771,-0.931340694
892,-0.982782125,-0.928510189
893,-0.982378006,-0.930670619
894,-0.981508851,-0.929332614
895,-0.982525349,-0.926546693
896,-0.980690956,-0.926045895
897,-0.982413232,-0.927020431
898,-0.980655015,-0.927314162
901,-0.980180621,-0.926830292
903,-0.98076272,-0.925796747
904,-0.98117888,-0.927918494
905,-0.980696261,-0.930387378
906,-0.980450869,-0.931230783
910,-0.980405807,-0.926774859
911,-0.981067538,-0.928674221
913,-0.97952944,-0.929244459
914,-0.981613636,-0.929927349
916,-0.980599761,-0.929610372
917,-0.980867743,-0.927868009
918,-0.979382634,-0.92592144
920,-0.980929017,-0.927715242
921,-0.980525792,-0.927910209
922,-0.980288982,-0.928675532
923,-0.981701314,-0.930798471
924,-0.981293201,-0.930477142
925,-0.980356336,-0.929260254
926,-0.980929315,-0.932194471
927,-0.97964251,-0.93103981
928,-0.981843352,-0.929686427
930,-0.980538011,-0.931180954
931,-0.980509281,-0.930564761
932,-0.981890678,-0.932064652
936,-0.979910731,-0.931937575
937,-0.981109023,-0.933093727
938,-0.982499719,-0.929716229
939,-0.980422974,-0.930147946
941,-0.980015993,-0.929931045
942,-0.980203152,-0.930930376
943,-0.982058883,-0.929378867
944,-0.981153905,-0.930564404
946,-0.981498182,-0.930579364
948,-0.981548309,-0.929684043
949,-0.981208801,-0.930597425
950,-0.980876029,-0.934612572
951,-0.981719613,-0.93184185
952,-0.981220841,-0.93069315
955,-0.980944455,-0.932669222
956,-0.982887149,-0.931878686
957,-0.982201755,-0.932586253
958,-0.982979536,-0.933545232
959,-0.982396066,-0.933061481
960,-0.979653597,-0.930710673
961,-0.980288088,-0.931916177
963,-0.978803515,-0.931680799
966,-0.979259491,-0.931490839
967,-0.979986846,-0.931789279
970,-0.98281157,-0.932394743
971,-0.980970025,-0.930689991
973,-0.982370198,-0.932698846
975,-0.981523991,-0.933001399
977,-0.981431603,-0.930757403
981,-0.981165051,-0.931283116
983,-0.981015444,-0.931099892
984,-0.981287837,-0.931702256
985,-0.980544329,-0.932747483
990,-0.9797768,-0.930669188
991,-0.983095467,-0.932584941
992,-0.979972005,-0.934229016
996,-0.982310295,-0.931286573
997,-0.981513679,-0.931959212
998,-0.981469274,-0.932463646
999,-0.978505254,-0.933340549
1002,-0.981694579,-0.93229413
1004,-0.98008424,-0.931614637
1006,-0.98217845,-0.931573391
1008,-0.981823444,-0.935104609
1010,-0.980814576,-0.934714615
1014,-0.980422974,-0.931300998
1015,-0.979840994,-0.933736682
1016,-0.979592562,-0.932967424
1018,-0.981810451,-0.929872811
1020,-0.980695069,-0.934194684
1021,-0.980996013,-0.934195042
1022,-0.982289672,-0.932550728
1026,-0.979742706,-0.93459034
1027,-0.982870758,-0.932725787
1029,-0.980665207,-0.931972921
1030,-0.981445491,-0.933760405
1031,-0.98070538,-0.934757829
1032,-0.981750965,-0.934932947
1036,-0.979050219,-0.935561776
1040,-0.981998205,-0.934690118
1041,-0.98026073,-0.935544014
1042,-0.982135177,-0.933667064
1044,-0.98034513,-0.934114516
1048,-0.981819153,-0.933637857
1051,-0.981449604,-0.935529828
1054,-0.980747819,-0.933637857
1055,-0.979094028,-0.934863627
1056,-0.981525362,-0.9321872
1057,-0.979629397,-0.933938384
1058,-0.982231975,-0.930431545
1059,-0.980500162,-0.934241891
1063,-0.980227828,-0.935570538
1065,-0.980929255,-0.93298012
1066,-0.982224524,-0.937260509
1067,-0.9808833,-0.935993552
1070,-0.979929209,-0.936580598
1071,-0.981742978,-0.934771419
1072,-0.983693779,-0.937580585
1074,-0.983203292,-0.933783412
1075,-0.981667936,-0.938030481
1076,-0.981659889,-0.935959339
1077,-0.981096983,-0.934395313
1078,-0.97974503,-0.934449077
1079,-0.982471704,-0.934748173
1081,-0.98033464,-0.933380842
1082,-0.981361628,-0.934330344
1085,-0.981956124,-0.935902834
1086,-0.981526077,-0.935076952
1088,-0.981257677,-0.935881793
1089,-0.980182409,-0.936020553
1090,-0.980037093,-0.934659243
1091,-0.981058657,-0.936134636
1092,-0.981430888,-0.935985208
1093,-0.980311871,-0.935207725
1095,-0.980052352,-0.939063311
1096,-0.98179251,-0.936381042
1098,-0.981984258,-0.935628295
1100,-0.98242557,-0.9382025
1103,-0.982824206,-0.93647939
1105,-0.982403755,-0.936369896
1106,-0.982646585,-0.939768314
1109,-0.980410576,-0.937663436
1112,-0.981851399,-0.937602401
1113,-0.982673764,-0.936813414
1115,-0.981261492,-0.935795903
1119,-0.980381966,-0.937648416
1120,-0.982096076,-0.937193811
1121,-0.981379092,-0.935969293
1122,-0.981124043,-0.93796432
1124,-0.983071685,-0.936516762
1125,-0.98266232,-0.937936783
1130,-0.980772495,-0.93886739
1131,-0.981861711,-0.936756372
1133,-0.979854167,-0.935881674
1134,-0.981518984,-0.934659719
1136,-0.981429338,-0.936398029
1137,-0.980441868,-0.937363386
1138,-0.980765343,-0.939568281
1139,-0.98093009,-0.935733199
1140,-0.982311964,-0.938116491
1143,-0.982004642,-0.937523723
1145,-0.979402184,-0.937513769
1146,-0.980753481,-0.937771499
1147,-0.982264578,-0.937142134
1149,-0.982098877,-0.936596811
1150,-0.980854511,-0.939439654
1152,-0.98135221,-0.935441971
1155,-0.981317461,-0.937911034
1157,-0.981364846,-0.93601948
1158,-0.981651425,-0.939021111
1163,-0.981643677,-0.93666178
1165,-0.98286438,-0.938222289
1167,-0.98141551,-0.93901515
1168,-0.981714487,-0.937807679
1169,-0.98200345,-0.939066827
1170,-0.980251551,-0.935367823
1171,-0.982281804,-0.935973763
1174,-0.981041729,-0.936548591
1175,-0.97943151,-0.935887456
1176,-0.979916155,-0.939861536
1177,-0.981349349,-0.938629329
1178,-0.981105328,-0.937179804
1179,-0.981495261,-0.938351095
1180,-0.982859313,-0.936177373
1181,-0.9818753,-0.938472748
1182,-0.981425166,-0.936672807
1183,-0.980646729,-0.937874019
1190,-0.980821788,-0.938626289
1191,-0.980889499,-0.936918139
1192,-0.979934454,-0.938554049
1194,-0.981707275,-0.939352274
1195,-0.981742859,-0.937839985
1197,-0.981257021,-0.938887477
1201,-0.980609775,-0.938128114
1203,-0.981365144,-0.937570572
1205,-0.981767058,-0.940105677
1206,-0.981787443,-0.935567558
1207,-0.983608484,-0.940235972
1209,-0.982466221,-0.939805448
1210,-0.981560111,-0.941471636
1211,-0.980598509,-0.941316009
1212,-0.981515408,-0.940634906
1214,-0.981174469,-0.937109351
1215,-0.981975496,-0.93817544
